"id","nom","nbAvis","latitude","longitude","shape_gid","gtrip"
"244980","Cirque d  hiver Bouglione","88","48.86313","2.36716","83328","187147"
"232121","Musée Bourdelle","129","48.84291","2.3186","83331","187147"
"246744","Place des Abbesses","207","48.884953","2.339187","83250","187147"
"189229","Les Catacombes","4523","48.83392","2.3321","82477","187147"
"244882","Auditorium du Louvre","51","48.86264","2.33659","82481","187147"
"244978","Châtelet - Théâtre musical de Paris","154","48.85756","2.346924","82481","187147"
"730008","Jardin des serres d  Auteuil","74","48.847927","2.255652","83330","187147"
"194992","Cimetière du Montparnasse","397","48.84034","2.327106","82477","187147"
"188486","Musée d  Art Moderne de la Ville de Paris","438","48.86478","2.29557","83330","187147"
"210317","Musée de l  Air et de l  Espace","406","48.94849","2.432184","78404","187147"
"246661","Quartier de l  Opéra","186","48.867085","2.333801","82481","187147"
"188489","Institut du Monde Arabe","578","48.849205","2.355806","82476","187147"
"1847870","Parc du Champ de Mars","1022","48.8567","2.30343","83327","187147"
"191243","Saint-Séverin","183","48.852207","2.345152","82476","187147"
"191012","Pont-Neuf","799","48.857273","2.341418","82481","187147"
"189189","Place Vendôme","732","48.86749","2.329509","82481","187147"
"523200","Cimetière de Montmartre","28","48.88539","2.33103","83250","187147"
"190982","Place du Tertre","746","48.886505","2.340603","83250","187147"
"188152","Rue Saint Dominique","65","48.859978","2.311388","83327","187147"
"232169","Saint-Sulpice","389","48.84892","2.33382","83333","187147"
"194312","Rue Saint-Louis-en-l  Île","97","48.852547","2.357039","83325","187147"
"652872","Coulée Verte René Dumont","539","48.84273","2.386544","83324","187147"
"244982","Cité de la musique","57","48.889637","2.393968","82479","187147"
"188511","Musée national d Art Moderne","28","48.86024","2.350945","83325","187147"
"189292","Cité des Enfants","235","48.896732","2.384934","82479","187147"
"194214","Montparnasse","994","48.841675","2.32069","83331","187147"
"497524","Musée de la vie romantique","209","48.880848","2.333179","83329","187147"
"189277","La Sorbonne","224","48.849724","2.344422","82476","187147"
"188461","Canal Saint-Martin","975","48.848873","2.366983","83324","187147"
"3140872","Artishow","106","48.85176","2.38891","83328","187147"
"232112","Jeu de Paume","118","48.86614","2.32311","76102","187147"
"265634","Musée Maillol","133","48.854828","2.324979","83327","187147"
"484917","Cimetière de Picpus","49","48.84423","2.39622","83324","187147"
"209790","Eglise de la Madeleine","1599","48.8698","2.32507","76102","187147"
"246224","École Militaire","142","48.854607","2.30567","83327","187147"
"523172","Atelier Brancusi","57","48.8609","2.352617","83325","187147"
"189690","Cité des Sciences et de L  Industrie","868","48.89682","2.384896","82479","187147"
"2007510","Aquarium Tropical de la Porte Doree","187","48.834824","2.409026","83324","187147"
"1963430","Train à Grande Vitesse","1026","48.8805","2.355229","66451","187147"
"2195794","Arc de Triomphe du Carrousel","422","48.861736","2.332875","82481","187147"
"1526800","Fontaine Stravinsky","127","48.859837","2.351716","83325","187147"
"246654","La Défense","1224","48.89006","2.24297","82084","187147"
"2228998","Le Manoir de Paris","893","48.87473","2.35368","66451","187147"
"245088","Le Grand Rex","233","48.870502","2.347608","83326","187147"
"190172","Musée des Monuments Français","32","48.86238","2.28203","83330","187147"
"232119","Manufacture nationale des Gobelins","45","48.83518","2.35298","82480","187147"
"549374","Square du Vert-Galant","100","48.860302","2.341064","82481","187147"
"2493647","Parc de Bagatelle","233","48.87433","2.264395","83330","187147"
"2508568","Musée Grévin","1739","48.871613","2.342266","83329","187147"
"208637","Place de la Madeleine","253","48.869995","2.324038","76102","187147"
"264694","Ritz, Hôtel et bar","31","48.86736","2.329552","82481","187147"
"245119","Palais Omnisports de Paris-Bercy","234","48.83936","2.3776","83324","187147"
"195459","Maison de Victor Hugo","404","48.85493","2.36615","83325","187147"
"245117","L  Odéon, Théâtre de L  Europe","26","48.850025","2.338908","83333","187147"
"245120","Palais de la découverte","430","48.852074","2.359082","83325","187147"
"2274303","Vedettes du Pont Neuf","1116","48.85728","2.34116","82481","187147"
"2389733","Mona Bismarck American Center","16","48.86285","2.29483","83330","187147"
"532331","Maison européenne de la photographie","168","48.85539","2.35926","83325","187147"
"2015797","Pont des Invalides","236","48.8636","2.310393","76102","187147"
"232116","La Grande Arche de La Défense","854","48.89246","2.236378","82084","187147"
"244986","Club Quartier Latin  - FERMÉ","6","48.84902","2.351418","82476","187147"
"232168","Saint-Germain l  Auxerrois","88","48.85957","2.3408","82481","187147"
"190683","Conciergerie","1313","48.85602","2.34635","83325","187147"
"191242","Saint-Gervais -- Saint-Protais","61","48.855145","2.355194","83325","187147"
"2346416","Théâtre du Celebrity Centre","4","48.88632","2.31793","82475","187147"
"189692","Musée du Luxembourg","270","48.84896","2.33405","83333","187147"
"246663","Palais de Chaillot","270","48.887886","2.330003","83250","187147"
"189241","Muséum National d  Histoire Naturelle","736","48.8439","2.35513","82476","187147"
"189187","Rue du Faubourg Saint-Honoré","105","48.872562","2.311463","76102","187147"
"232163","Musée de la Marine","91","48.86672","2.29676","83330","187147"
"189188","Avenue Montaigne","123","48.866833","2.306185","76102","187147"
"189240","La Ménagerie","320","48.84396","2.359185","82476","187147"
"232120","Mosquée de Paris","409","48.84214","2.35381","82476","187147"
"245147","Théâtre de L  Athénée-Louis Jouvet","4","48.87223","2.32932","83329","187147"
"257193","Conservatoire des Arts et Métiers","7","48.86702","2.35444","83332","187147"
"189684","Rive Gauche","101","48.83077","2.377081","82480","187147"
"211688","L  Olympia","180","48.86998","2.32841","83329","187147"
"245155","Une Journée au cirque","20","48.871017","2.315326","76102","187147"
"285346","Village de Bercy","396","48.832935","2.386466","83324","187147"
"1743483","Baccarat Musuem","7","48.86788","2.29367","83330","187147"
"188468","Rue des Francs Bourgeois","42","48.8571","2.36201","83325","187147"
"245066","La Cinémathèque française","147","48.834217","2.385546","83324","187147"
"189244","Église du Dôme","188","48.86158","2.314682","83327","187147"
"246653","Malmaison","40","48.872845","2.169242","74289","187147"
"188707","Le Lutétia","53","48.85133","2.326999","83333","187147"
"245070","La Géode","200","48.894974","2.388195","82479","187147"
"504425","Galeries nationales du Grand Palais","11","48.866917","2.311738","76102","187147"
"3405920","Fontaine Saint-Michel","316","48.85303","2.34394","83333","187147"
"655428","Museum of Letters and Manuscripts (Musee des Lettres et Manuscrits)","47","48.85533","2.32758","83327","187147"
"189279","La Comédie-Française","31","48.863274","2.335968","82481","187147"
"523198","Chapelle Expiatoire","47","48.87379","2.3238","76102","187147"
"246655","Montagne Sainte-Geneviève","25","48.84639","2.345833","82476","187147"
"208634","Espace Eiffel-Branly","9","48.856846","2.341448","82481","187147"
"268091","Obélisque de Louxor","399","48.86559","2.320776","76102","187147"
"1419846","Palais des Congres de Paris","153","48.878998","2.283311","82475","187147"
"1066264","13ème arrondissement","53","48.831955","2.356224","82480","187147"
"1726535","Montmartrobus","9","48.856724","2.341354","82481","187147"
"1852282","Nouveau Casino","13","48.86577","2.37784","83328","187147"
"2279495","Rue Lepic","99","48.886566","2.333675","83250","187147"
"190983","Musée de l  érotisme","287","48.88358","2.3337","83250","187147"
"189293","Musée de la Poupée","64","48.861355","2.354563","83332","187147"
"188146","7ème arrondissement","156","48.85673","2.341436","82481","187147"
"191246","Musée de la Poste","17","48.841164","2.317042","83331","187147"
"191145","Gare Saint-Lazare","192","48.876854","2.332277","83329","187147"
"2513746","Parc de Bercy","141","48.834305","2.38413","83324","187147"
"244885","Théâtre des Champs-Élysées","87","48.86562","2.30333","76102","187147"
"1872851","Cafe de la Gare","51","48.85951","2.3541","83325","187147"
"1024224","Cleopatra  s Needle","10","48.86562","2.320744","76102","187147"
"194191","Fontaine Médicis","104","48.84416","2.336955","83333","187147"
"1463501","Aquaboulevard","504","48.850723","2.332857","83333","187147"
"195383","Musée du Vieux Montmartre","13","48.84002","2.2929","83331","187147"
"188153","Rue de Grenelle","44","48.857574","2.317504","83327","187147"
"245145","Théâtre National de Chaillot","7","48.86238","2.28203","83330","187147"
"487589","Paris Plage","182","48.846424","2.349036","82476","187147"
"191101","Saint-Médard","13","48.84233","2.349751","82476","187147"
"245003","France Miniature","500","48.86736","2.28381","83330","187147"
